,Name1,Percent_Change1,Symbol1,Industry1,Name2,Percent_Change2,Symbol2,Industry2,Name3,Percent_Change3,Symbol3,Industry3,Name4,Percent_Change4,Symbol4,Industry4,Name5,Percent_Change5,Symbol5,Industry5,Name6,Percent_Change6,Symbol6,Industry6,Name7,Percent_Change7,Symbol7,Industry7,Name8,Percent_Change8,Symbol8,Industry8,Name9,Percent_Change9,Symbol9,Industry9
21,GUOCOLAND LIMITED,0,F17.SI,Real Estate,DYNAMIC COLOURS LIMITED ,-3.846153846,D6U.SI,Materials,COSMOSTEEL HOLDINGS LIMITED,-17.62114537,B9S.SI,Energy,GLOBAL TESTING CORPORATION LTD,3.614457831,AYN.SI,Information Technology,"FRASER AND NEAVE, LIMITED ",20.91690544,F99.SI,Consumer Staples,HUAN HSIN HOLDINGS LTD ,15.90909091,H16.SI,Information Technology,HEALTHWAY MEDICAL CORP LTD ,-33.33333333,5NG.SI,Healthcare,FAR EAST ORCHARD LIMITED ,0.323624595,O10.SI,Real Estate,GOODLAND GROUP LIMITED ,2.222222222,5PC.SI,Real Estate
22,HATTEN LAND LIMITED ,4.249291785,PH0.SI,Real Estate,ENVIRO-HUB HOLDINGS LTD,-4.80349345,L23.SI,Materials,CPH LTD ,0,539.SI,Information Technology,HALCYON AGRI CORPORATION LTD,4.854368932,5VJ.SI,Industrials,FRASERS PROPERTY LIMITED ,6.111111111,TQ5.SI,Real Estate,HUATIONG GLOBAL LIMITED ,54.93199525,41B.SI,Industrials,INDOFOOD AGRI RESOURCES LTD.,-5.263157895,5JS.SI,Consumer Staples,FIGTREE HOLDINGS LIMITED ,0,5F4.SI,Industrials,HEATEC JIETONG HOLDINGS LTD.,16.66666667,5OR.SI,Energy
23,HEETON HOLDINGS LIMITED ,25.6684492,5DP.SI,Real Estate,ES GROUP (HOLDINGS),-16.91176471,5RC.SI,Industrials,DATAPULSE TECHNOLOGY LIMITED ,4.255319149,BKW.SI,Information Technology,HOE LEONG CORPORATION LTD.,8.108108108,H20.SI,Industrials,GL LIMITED ,27.27272727,B16.SI,Consumer Discretionary,HUPSTEEL LTD,28.37837838,BMH.SI,Industrials,JB FOODS LIMITED,-16.66666667,BEW.SI,Consumer Staples,FIRST SHIP LEASE TRUST ,-2.43902439,D8DU.SI,Financials,HI-P INTERNATIONAL LIMITED ,-50,H17.SI,Information Technology
24,HG METAL MANUFACTURING LTD,0.81300813,BTG.SI,Industrials,EUROSPORTS GLOBAL LIMITED ,-1.694915254,5G1.SI,Consumer Discretionary,DEL MONTE PACIFIC LIMITED ,0,D03.SI,Consumer Staples,HONG FOK CORPORATION LTD,0.803212851,H30.SI,Real Estate,GLOBAL PALM RESOURCES HLGS LTD,15.38461538,BLW.SI,Consumer Staples,ICP LTD ,8.695652174,5I4.SI,Industrials,KOP LIMITED ,-8.474576271,5I1.SI,Consumer Discretionary,FUXING CHINA GROUP LIMITED ,-6.349206349,AWK.SI,Consumer Discretionary,HOSEN GROUP LTD,5.128205128,5EV.SI,Consumer Staples
25,HIAP SENG ENGINEERING LTD,1.162790698,510.SI,Energy,FAR EAST GROUP LIMITED ,-0.476190476,5TJ.SI,Industrials,DESIGN STUDIO GROUP LTD. ,-0.71942446,D11.SI,Industrials,IPCO INT'L LIMITED,2.222222222,I11.SI,Utilities,GOLDEN AGRI-RESOURCES LTD,6.338028169,E5H.SI,Consumer Staples,IFAST CORPORATION LTD. ,11.11111111,AIY.SI,Information Technology,LEADER ENVIRONMENTAL TECH LTD ,-4.838709677,LS9.SI,Industrials,GLOBAL INVESTMENTS LIMITED ,-9.016393443,B73.SI,Financials,HOTEL GRAND CENTRAL LTD ,23.03664921,H18.SI,Consumer Discretionary
26,HLH GROUP LIMITED,15.15151515,H27.SI,Consumer Staples,FIRST SPONSOR GROUP LIMITED,-17.39130435,ADN.SI,Real Estate,DUTY FREE INTERNATIONALLIMITED,-18.6440678,5SO.SI,Consumer Discretionary,JADASON ENTERPRISES LTD,4.958677686,J03.SI,Information Technology,GS HOLDINGS LIMITED ,33.33333333,43A.SI,Industrials,INTRACO LIMITED,35.13513514,I06.SI,Industrials,MENCAST HOLDINGS LTD. ,-1.910828025,5NF.SI,Energy,GLOBAL YELLOW PAGES LIMITED,0.621118012,AWS.SI,Consumer Discretionary,HOTEL PROPERTIES LTD ,0,H15.SI,Consumer Discretionary
27,HOCK LIAN SENG HOLDINGS LTD,20.23809524,J2T.SI,Industrials,GALLANT VENTURE LTD. ,-7.407407407,5IG.SI,Industrials,DYNA-MAC HOLDINGS LTD. ,-21.21272564,NO4.SI,Energy,KOH BROTHERS ECO ENGG LIMITED,1.587301587,5HV.SI,Industrials,HANWELL HOLDINGS LIMITED ,27.27272727,DM0.SI,Consumer Staples,JAPAN FOODS HOLDING LTD. ,10.23622047,5OI.SI,Consumer Discretionary,MEWAH INTERNATIONAL INC.,-2,MV4.SI,Consumer Staples,GRAND BANKS YACHTS LIMITED,7.692307692,G50.SI,Industrials,HRNETGROUP LIMITED ,-8,CHZ.SI,Industrials
28,IHH HEALTHCARE BERHAD ,27.55102041,Q0F.SI,Healthcare,GCCP RESOURCES LIMITED ,-6.741573034,41T.SI,Materials,ELEC & ELTEK INT CO LTD ,-1.538461538,E16.SI,Information Technology,LIAN BENG GROUP LTD ,2.43902439,L03.SI,Industrials,HEALTH MANAGEMENT INTL LTD ,6.060606061,588.SI,Healthcare,KINGBOARD COPPER FOIL HDGS LTD,95,K14.SI,Materials,MOYA HOLDINGS ASIA LIMITED ,-2.158273381,5WE.SI,Industrials,GREEN BUILD TECHNOLOGY LIMITED ,6.432748538,Y06.SI,Industrials,HU AN CABLE HOLDINGS LTD.,1.538461538,KI3.SI,Industrials
29,INTERRA RESOURCES LIMITED ,10.75949367,5GI.SI,Energy,GENTING HONG KONG LIMITED ,-7.407407407,S21.SI,Consumer Discretionary,FU YU CORPORATION LTD ,-8,F13.SI,Industrials,LTC CORPORATION LIMITED ,0.543478261,L17.SI,Materials,HUTCHISON PORT HLDGS TRUST S$,23.80952381,P7VU.SI,Industrials,LHT HOLDINGS LIMITED ,10.03552398,BEI.SI,Materials,MS HOLDINGS LIMITED ,1.265822785,40U.SI,Industrials,GSH CORPORATION LIMITED ,-4.347826087,BDX.SI,Information Technology,HUTCHISON PORT HOLDINGS TRUST,-2.127659574,NS8U.SI,Industrials
30,ISOTEAM LTD.,13.63636364,5WF.SI,Industrials,GP INDUSTRIES LIMITED ,-2.762430939,G20.SI,Information Technology,FUJI OFFSET PLATES MFG LTD ,-13.68421053,508.SI,Industrials,M1 LIMITED ,0,B2F.SI,Telecommunications,IFS CAPITAL LIMITED,28.57142857,I49.SI,Financials,LUM CHANG HOLDINGS LIMITED,17.0212766,L19.SI,Industrials,NET PACIFIC FIN HLDGS LTD ,-7.01754386,5QY.SI,Financials,HC SURGICAL SPECIALISTSLIMITED,0,1B1.SI,Healthcare,INTERNATIONAL PRESS SOFTCOM,-8.695652174,571.SI,Information Technology
31,JUMBO GROUP LIMITED ,4.285714286,42R.SI,Consumer Discretionary,ISDN HOLDINGS LIMITED ,-3.738317757,I07.SI,Industrials,FULL APEX ,-17.24137931,BTY.SI,Materials,MALAYSIA SMELTING CORP BHD 100,5.714285714,NC9.SI,Materials,IPC CORPORATION LIMITED ,33.33333333,AZA.SI,Real Estate,MIRACH ENERGY LIMITED ,2.608695652,AWO.SI,Energy,NETLINK NBN TRUST,-14.52991453,CJLU.SI,Telecommunications,HONG LEONG FINANCE LIMITED,-2.173913043,S41.SI,Financials,IX BIOPHARMA LTD.,-2.857142857,42C.SI,Healthcare
32,KEPPEL TELE & TRAN,24.03100775,K11.SI,Industrials,ISEC HEALTHCARE LTD. ,-23.72881356,40T.SI,Healthcare,HAI LECK HOLDINGS LIMITED ,1.136363636,BLH.SI,Energy,METECH INTERNATIONAL LIMITED ,8.080808081,QG1.SI,Industrials,IPS SECUREX HOLDINGS LIMITED,-10.86956522,42N.SI,Information Technology,MMP RESOURCES LIMITED ,18.98734177,F3V.SI,Industrials,OUE LIMITED ,0,LJ3.SI,Consumer Discretionary,IMPERIUM CROWN LIMITED ,-2.958579882,5HT.SI,Real Estate,JARDINE STRATEGIC HLDGS LTD ,-2.097902098,J37.SI,Industrials
