"","Name","Cluster","Percent_Change","Symbol","Industry"
"159","BOUSTEAD SINGAPORE LIMITED",3,-7.14285714285715,"F9D.SI","Energy"
"160","CAMSING HEALTHCARE LIMITED",3,-4.65116279069768,"BAC.SI","Consumer Discretionary"
"161","CENTURION CORPORATION LIMITED ",3,-5.37634408602151,"OU8.SI","Consumer Discretionary"
"162","CHEMICAL INDUSTRIES FAR EAST",3,-19.047619047619,"C05.SI","Materials"
"163","CHINA GREAT LAND HOLDINGS LTD.",3,-11.6666666666667,"D50.SI","Industrials"
"164","CHINA JINJIANG ENV HLDG CO LTD",3,-21.0526315789474,"BWM.SI","Utilities"
"165","COSMOSTEEL HOLDINGS LIMITED",3,-17.6211453744493,"B9S.SI","Energy"
"166","CPH LTD ",3,0,"539.SI","Information Technology"
"167","DATAPULSE TECHNOLOGY LIMITED ",3,4.25531914893617,"BKW.SI","Information Technology"
"168","DEL MONTE PACIFIC LIMITED ",3,0,"D03.SI","Consumer Staples"
"169","DESIGN STUDIO GROUP LTD. ",3,-0.719424460431655,"D11.SI","Industrials"
"170","DUTY FREE INTERNATIONALLIMITED",3,-18.6440677966102,"5SO.SI","Consumer Discretionary"
"171","DYNA-MAC HOLDINGS LTD. ",3,-21.2127256407699,"NO4.SI","Energy"
"172","ELEC & ELTEK INT CO LTD ",3,-1.53846153846154,"E16.SI","Information Technology"
"173","FU YU CORPORATION LTD ",3,-8,"F13.SI","Industrials"
"174","FUJI OFFSET PLATES MFG LTD ",3,-13.6842105263158,"508.SI","Industrials"
"175","FULL APEX ",3,-17.2413793103448,"BTY.SI","Materials"
"176","HAI LECK HOLDINGS LIMITED ",3,1.13636363636364,"BLH.SI","Energy"
"177","HIAP TONG CORPORATION LTD.",3,-14.2105263157895,"5PO.SI","Industrials"
"178","HL GLOBAL ENTERPRISES LIMITED ",3,-25.6637168141593,"AVX.SI","Consumer Discretionary"
"179","HO BEE LAND LIMITED",3,-10.0574712643678,"H13.SI","Real Estate"
"180","HONG LEONG ASIA LTD. ",3,-9.0909090909091,"H22.SI","Industrials"
