Name,Symbol,Industry
DAIRY FARM INT'L HOLDINGS LTD,D01.SI,Consumer Staples
DEL MONTE PACIFIC LIMITED ,D03.SI,Consumer Staples
DELFI LIMITED,P34.SI,Consumer Staples
DUKANG DISTILLERS HLDGS LTD ,BKV.SI,Consumer Staples
EDITION LTD. ,5HG.SI,Consumer Staples
ENVICTUS INTERNATIONAL HLDGLTD ,BQD.SI,Consumer Staples
FIRST RESOURCES LIMITED ,EB5.SI,Consumer Staples
FOOD EMPIRE HOLDINGS LIMITED,F03.SI,Consumer Staples
"FRASER AND NEAVE, LIMITED ",F99.SI,Consumer Staples
GLOBAL PALM RESOURCES HLGS LTD,BLW.SI,Consumer Staples
GOLDEN AGRI-RESOURCES LTD,E5H.SI,Consumer Staples
HANWELL HOLDINGS LIMITED ,DM0.SI,Consumer Staples
HLH GROUP LIMITED,H27.SI,Consumer Staples
HOSEN GROUP LTD,5EV.SI,Consumer Staples
INDOFOOD AGRI RESOURCES LTD.,5JS.SI,Consumer Staples
JAPFA LTD. ,UD2.SI,Consumer Staples
JB FOODS LIMITED,BEW.SI,Consumer Staples
KENCANA AGRI LIMITED ,BNE.SI,Consumer Staples
KHONG GUAN LIMITED ,K03.SI,Consumer Staples
LUZHOU BIO-CHEM TECHNOLOGY LTD,L46.SI,Consumer Staples
MEWAH INTERNATIONAL INC.,MV4.SI,Consumer Staples
NUTRYFARM INTERNATIONAL LTD,AZT.SI,Consumer Staples
OCEANUS GROUP LIMITED ,579.SI,Consumer Staples
OLAM INTERNATIONAL LIMITED ,O32.SI,Consumer Staples
OLD CHANG KEE LTD.,5ML.SI,Consumer Staples
PACIFIC ANDES RESOURCES DEVLTD,P11.SI,Consumer Staples
QAF LTD ,Q01.SI,Consumer Staples
SHENG SIONG GROUP LTD ,OV8.SI,Consumer Staples
SINO GRANDNESS FOOD IND GP LTD,T4B.SI,Consumer Staples
SUNMOON FOOD COMPANY LIMITED,AAJ.SI,Consumer Staples
THAI BEVERAGE PUBLIC CO LTD,Y92.SI,Consumer Staples
UNITED FOOD HOLDINGS LIMITED,AZR.SI,Consumer Staples
WILMAR INTERNATIONAL LIMITED ,F34.SI,Consumer Staples
YAMADA GREEN RESOURCES LIMITED,BJV.SI,Consumer Staples
YEO HIAP SENG LTD,Y03.SI,Consumer Staples
ZHONGXIN FRUIT AND JUICE LTD ,5EG.SI,Consumer Staples
ADVANCED HOLDINGS LTD. ,BLZ.SI,Energy
ALPHA ENERGY HOLDINGS LIMITED,5TS.SI,Energy
ANAN INTERNATIONAL LIMITED ,Y35.SI,Energy
ANNICA HOLDINGS LIMITED ,5AL.SI,Energy
ATLANTIC NAVIGATION HLDG,5UL.SI,Energy
BAKER TECHNOLOGY LIMITED ,BTP.SI,Energy
BLACKGOLD NATURAL RESOURCESLTD,41H.SI,Energy
BOUSTEAD SINGAPORE LIMITED,F9D.SI,Energy
CH OFFSHORE LTD,C13.SI,Energy
CHINA AVIATION OIL,G92.SI,Energy
COSMOSTEEL HOLDINGS LIMITED,B9S.SI,Energy
CWX GLOBAL LIMITED,594.SI,Energy
DYNA-MAC HOLDINGS LTD. ,NO4.SI,Energy
EMAS OFFSHORE LIMITED ,UQ4.SI,Energy
EMS ENERGY LIMITED,42O.SI,Energy
EZION HOLDINGS LIMITED ,5ME.SI,Energy
EZRA HOLDINGS LIMITED ,5DN.SI,Energy
FALCON ENERGY GROUP LIMITED,5FL.SI,Energy
GAYLIN HOLDINGS LIMITED ,RF7.SI,Energy
GEO ENERGY RESOURCES LIMITED,RE4.SI,Energy
GOLDEN ENERGY AND RESOURCESLTD,AUE.SI,Energy
HAI LECK HOLDINGS LIMITED ,BLH.SI,Energy
HEATEC JIETONG HOLDINGS LTD.,5OR.SI,Energy
HENGYANG PETROCHEM LOG LIMITED ,5PD.SI,Energy
HIAP SENG ENGINEERING LTD,510.SI,Energy
IEV HOLDINGS LIMITED ,5TN.SI,Energy
INTERRA RESOURCES LIMITED ,5GI.SI,Energy
JASPER INVESTMENTS LIMITED ,FQ7.SI,Energy
KIMHENG OFFSHORE&MARINE HLDLTD ,5G2.SI,Energy
KRISENERGY LTD.,SK3.SI,Energy
LERENO BIO-CHEM LTD. ,42H.SI,Energy
LINC ENERGY LTD,BRE.SI,Energy
MAGNUS ENERGY GROUP LTD. ,41S.SI,Energy
MENCAST HOLDINGS LTD. ,5NF.SI,Energy
MERMAID MARITIME PUBLIC CO LTD,DU4.SI,Energy
MIRACH ENERGY LIMITED ,AWO.SI,Energy
MTQ CORPORATION LIMITED ,M05.SI,Energy
NAUTICAWT LIMITED,42D.SI,Energy
NEW SILKROUTES GROUP LIMITED,BMT.SI,Energy
OUHUA ENERGY HOLDINGS LIMITED,AJ2.SI,Energy
PACC OFFSHORE SVCS HLDG LTD. ,U6C.SI,Energy
PACIFIC RADIANCE LTD. ,T8V.SI,Energy
RESOURCES PRIMA GROUP LIMITED,5MM.SI,Energy
REX INTERNATIONAL HOLDING LTD,5WH.SI,Energy
RH PETROGAS LIMITED ,T13.SI,Energy
SHS HOLDINGS LTD.,566.SI,Energy
SINOSTAR PEC HOLDINGS LIMITED,C9Q.SI,Energy
SWIBER HOLDINGS LIMITED ,BGK.SI,Energy
SWISSCO HOLDINGS LIMITED ,ADP.SI,Energy
TECHNICS OIL & GAS LIMITED ,5CQ.SI,Energy
UNIVERSAL RESOURCE & SVCS LTD ,BGO.SI,Energy
USP GROUP LIMITED,BRS.SI,Energy
VALLIANZ HOLDINGS LIMITED ,545.SI,Energy
VIKING OFFSHORE AND MARINE LTD,557.SI,Energy
ATTILAN GROUP LIMITED ,5ET.SI,Financials
BRITISH & MALAYAN HLDG LIMITED,CJN.SI,Financials
DBS GROUP HOLDINGS LTD,D05.SI,Financials
FIRST SHIP LEASE TRUST ,D8DU.SI,Financials
GLOBAL INVESTMENTS LIMITED ,B73.SI,Financials
GREAT EASTERN HLDGS LTD ,G07.SI,Financials
HONG LEONG FINANCE LIMITED,S41.SI,Financials
HOTUNG INVESTMENT HLDGS LTD ,BLS.SI,Financials
IFS CAPITAL LIMITED,I49.SI,Financials
INNOPAC HOLDINGS LIMITED ,I26.SI,Financials
ISR CAPITAL LIMITED,5EC.SI,Financials
MAXI-CASH FIN SVCS CORP LTD ,5UF.SI,Financials
NET PACIFIC FIN HLDGS LTD ,5QY.SI,Financials
"NOMURA HOLDINGS, INC ",N33.SI,Financials
OVERSEA-CHINESE BANKING CORP,O39.SI,Financials
PACIFIC CENTURY REGIONAL DEVTS,P15.SI,Financials
PRUDENTIAL PLC,K6S.SI,Financials
ROWSLEY LTD.,A50.SI,Financials
SING INVESTMENTS & FINANCE LTD ,S35.SI,Financials
SINGAPORE EXCHANGE LIMITED,S68.SI,Financials
SINGAPORE REINSURANCE COR LTD ,S49.SI,Financials
SINGAPURA FINANCE LTD ,S23.SI,Financials
THE TRENDLINES GROUP LTD. ,42T.SI,Financials
TIH LIMITED ,T55.SI,Financials
UNI-ASIA GROUP LIMITED ,CHJ.SI,Financials
UNITED OVERSEAS BANK LTD ,U11.SI,Financials
UNITED OVERSEAS INSURANCE LTD,U13.SI,Financials
UOB-KAY HIAN HOLDINGS LIMITED,U10.SI,Financials
VALUEMAX GROUP LIMITED ,T6I.SI,Financials
AOXIN Q & M DENTAL GRP LIMITED ,1D4.SI,Healthcare
ASIAMEDIC LIMITED,505.SI,Healthcare
CLEARBRIDGE HEALTH LIMITED,1H3.SI,Healthcare
CORDLIFE GROUP LIMITED ,P8A.SI,Healthcare
HAW PAR CORP LTD,H02.SI,Healthcare
HC SURGICAL SPECIALISTSLIMITED,1B1.SI,Healthcare
HEALTH MANAGEMENT INTL LTD ,588.SI,Healthcare
HEALTHWAY MEDICAL CORP LTD ,5NG.SI,Healthcare
IHH HEALTHCARE BERHAD ,Q0F.SI,Healthcare
ISEC HEALTHCARE LTD. ,40T.SI,Healthcare
IX BIOPHARMA LTD.,42C.SI,Healthcare
LONZA GROUP LTD,O6Z.SI,Healthcare
MEDTECS INTERNATIONAL CORP LTD ,546.SI,Healthcare
OUE LIPPO HEALTHCARE LTD,5WA.SI,Healthcare
PHARMESIS INTERNATIONAL LTD.,BFK.SI,Healthcare
Q & M DENTAL GROUP ,QC7.SI,Healthcare
QT VASCULAR LTD.,5I0.SI,Healthcare
RAFFLES MEDICAL GROUP LTD ,BSL.SI,Healthcare
RHT HEALTH TRUST,RF1U.SI,Healthcare
SINGAPORE MEDICAL GROUP LTD ,5OT.SI,Healthcare
SINGAPORE O&G LTD.,1D8.SI,Healthcare
STAR PHARMACEUTICAL LIMITED ,AYL.SI,Healthcare
SUNTAR ECO-CITY LIMITED ,BKZ.SI,Healthcare
TALKMED GROUP LIMITED ,5G3.SI,Healthcare
TECHCOMP ,TECC.SI,Healthcare
TIANJIN ZHONG XIN PHARM GROUP,T14.SI,Healthcare
TOP GLOVE CORPORATION BHD,BVA.SI,Healthcare
UG HEALTHCARE CORPORATION LTD,41A.SI,Healthcare
VICPLAS INTERNATIONAL LTD,569.SI,Healthcare
800 SUPER HOLDINGS LIMITED ,5TG.SI,Industrials
A-SMART HOLDINGS LTD. ,BQC.SI,Industrials
A-SONIC AEROSPACE LIMITED ,BTJ.SI,Industrials
ABTERRA LTD ,L5I.SI,Industrials
ABUNDANCE INTERNATIONAL LTD,541.SI,Industrials
ACESIAN PARTNERS LIMITED ,5FW.SI,Industrials
ACMA LTD. ,AYV.SI,Industrials
ACROMEC LIMITED,43F.SI,Industrials
ADVANCER GLOBAL LIMITED ,43Q.SI,Industrials
AEI CORPORATION LTD ,AWG.SI,Industrials
ALLIED TECHNOLOGIES LIMITED ,A13.SI,Industrials
ASIA ENTERPRISES HOLDING LTD ,A55.SI,Industrials
ASIAN MICRO HOLDINGS LTD,585.SI,Industrials
ASIATIC GROUP ,5CR.SI,Industrials
ASL MARINE HOLDINGS LTD,A04.SI,Industrials
AUSGROUP LIMITED,5GJ.SI,Industrials
AVIC INTL MARITIME HLDGLIMITED ,O2I.SI,Industrials
AXCELASIA INC.,42U.SI,Industrials
BBR HOLDINGS ,KJ5.SI,Industrials
BENG KUANG MARINE LIMITED ,BEZ.SI,Industrials
BH GLOBAL CORPORATION LIMITED ,BQN.SI,Industrials
BLUMONT GROUP LTD. ,A33.SI,Industrials
BOARDROOM LIMITED,B10.SI,Industrials
BOLDTEK HOLDINGS LIMITED ,5VI.SI,Industrials
BONVESTS HOLDINGS LTD ,B28.SI,Industrials
BOUSTEAD PROJECTS LIMITED ,AVM.SI,Industrials
BRC ASIA LIMITED,BEC.SI,Industrials
BROOK CROMPTON HOLDINGS LTD.,AWC.SI,Industrials
CFM HOLDINGS LIMITED ,5EB.SI,Industrials
CHARISMA ENERGY SERVICES LTD ,5QT.SI,Industrials
CHASEN HOLDINGS LIMITED ,5NV.SI,Industrials
CHEUNG WOH TECHNOLOGIES LTD,C50.SI,Industrials
CHINA BEARING ,AD7.SI,Industrials
CHINA GREAT LAND HOLDINGS LTD.,D50.SI,Industrials
CHINA HAIDA LTD.,C92.SI,Industrials
CHINA KUNDA TECH HOLDINGS LTD,GU5.SI,Industrials
CHINA MEDICAL ,5IB.SI,Industrials
CHINESE GLOBAL INVESTORS GRP,5CJ.SI,Industrials
CHIP ENG SENG CORPORATION LTD,C29.SI,Industrials
CITIC ENVIROTECH LTD. ,CEE.SI,Industrials
CITYNEON HOLDINGS LIMITED ,5HJ.SI,Industrials
